District,Block,School Name,School ID,NO. OF TEACHERS WHO STARTED THE PROJECT,NO. OF TEACHERS WHO ARE IN PROGRESS,NO. OF TEACHERS WHO SUBMITTED THE PROJECT,GRAND TOTAL,COMPLETE,INCOMPLETE
Araria,Araria,U.M.S Biri Dakbangla,10071205101,1,0,0,1,0,1
Araria,Araria,U.M.S Ithara,10071206901,1,0,0,1,0,1
Araria,Araria,Uhs Araria Basti,10071206601,0,0,0,0,0,1
Araria,Araria,Ums Dhokaria,10071202901,0,0,1,1,1,0
Araria,Araria,Ums Koshki Pur,10071202101,1,0,0,1,0,1
Araria,Bhargama,Ms Kusmaul,10072003502,1,0,0,1,0,1
Araria,Bhargama,U.H.S Raharia,10072000701,1,0,0,1,0,1
Araria,Bhargama,Ums Baiju Patti,10072002301,1,0,0,1,0,1
Araria,Forbisganj,A.Ms Dolbazza,10071803602,1,0,0,1,0,1
Araria,Forbisganj,Ams Mirzapur,10071801204,0,0,0,0,0,1
Araria,Forbisganj,M.S Kamta,10071810001,0,0,1,1,1,0
Araria,Forbisganj,M.S Kanya Dak,10071801602,1,0,0,1,0,1
Araria,Forbisganj,Ms Doria Sona Pur,10071804401,0,0,0,0,0,1
Araria,Forbisganj,Ms Haldiya,10071808901,0,0,0,0,0,1
Araria,Forbisganj,Ms Kushmaha,10071800201,0,0,1,1,1,0
Araria,Forbisganj,Ms Raniganj Potari,10071800901,1,0,0,1,0,1
Araria,Forbisganj,Ms Refeuje Colony,10071806801,1,0,0,1,0,1
Araria,Forbisganj,Ms Sahwaz Pur,10071805501,1,0,0,1,0,1
Araria,Forbisganj,Ms Sukhirampur,10071804002,0,0,1,1,1,0
Araria,Forbisganj,U.M.S Garaha,10071808401,2,0,0,2,0,1
Araria,Forbisganj,U.M.S.Bathnaha Kosi Camp,10071802502,1,0,0,1,0,1
Araria,Forbisganj,Uhs Amouna,10071800301,1,0,0,1,0,1
Araria,Forbisganj,Uhs Bara,10071805201,1,0,0,1,0,1
Araria,Forbisganj,Uhs Purandaha,10071804403,1,0,0,1,0,1
Araria,Jokihat,"Uchcha Madhyamik Vidyalaya ,Girda ,Jokihat",10071400504,0,0,1,1,1,0
Araria,Jokihat,Ums  Bouria,10071401802,1,0,0,1,0,1
Araria,Kursakanta,U.M.S Darhapipar,10071705901,1,0,0,1,0,1
Araria,Kursakanta,U.M.S Shisha Bari,10071702301,0,0,0,0,0,1
Araria,Kursakanta,Ums Megha,10071702601,1,0,0,1,0,1
Araria,Kursakanta,Ums Rajaula,10071703801,1,0,0,1,0,1
Araria,Kursakanta,Ums Sijhua,10071700301,1,0,0,1,0,1
Araria,Narpatganj,Ms Pathraha,10071902903,0,0,0,0,0,1
Araria,Narpatganj,"Uhs Noniya Tola Chakla, Narpatganj",10071901901,0,0,0,0,0,1
Araria,Narpatganj,Ums Badhepara,10071900901,1,0,0,1,0,1
Araria,Narpatganj,Ums Posdaha South,10071901001,0,0,0,0,0,1
Araria,Palasi,Ms Majlish Pur,10071601401,0,0,1,1,1,0
Araria,Palasi,Ums Denga,10071608201,1,0,0,1,0,1
Araria,Raniganj,Ams Raniganj,10071302701,0,0,0,0,0,1
Araria,Raniganj,Ms Belsara,10071301801,1,0,0,1,0,1
Araria,Raniganj,Ms Farkia,10071307401,1,0,0,1,0,1
Araria,Raniganj,Ms Hingna,10071305301,1,0,0,1,0,1
Araria,Raniganj,Ms Jagta,10071308801,2,0,0,2,0,1
Araria,Raniganj,Ms Kabaiya,10071306502,1,0,0,1,0,1
Araria,Raniganj,Ms Kumhara,10071306301,1,0,0,1,0,1
Araria,Raniganj,Uhs Hirdai Pur,10071307501,1,0,0,1,0,1
Araria,Raniganj,Uhs Majhua,10071303802,1,0,0,1,0,1
Araria,Raniganj,Ums Chatiauna,10071304601,0,0,0,0,0,1
Araria,Raniganj,Ums Mohani,10071305001,0,0,1,1,1,0
Araria,Sikti,Ms Sikti,10071502701,1,0,0,1,0,1
Araria,Sikti,Ms Tira,10071503201,1,0,0,1,0,1
Araria,Sikti,U.M.S Aamgachhi,10071500901,1,0,0,1,0,1
Araria,Sikti,Uhs Khora Gach,10071503301,0,0,0,0,0,1
Araria,Sikti,Ums Bel Bari,10071504401,1,0,0,1,0,1
Araria,Sikti,Ums Gadah Kath,10071501101,1,0,0,1,0,1
Araria,Sikti,Ums Premlal Sah Tola,10071510002,0,0,1,1,1,0
Arwal,Arwal,M.S.Ahiyapur,10380100201,1,0,0,1,0,1
Arwal,Arwal,M.S.Baidrabad,10380100501,0,0,0,0,0,1
Arwal,Arwal,M.S.Sakri Ibrahimpur,10380106101,1,0,0,1,0,1
Arwal,Arwal,M.S.Umairabad,10380103701,0,0,0,0,0,1
Arwal,Arwal,Up. M.S. Bhadasi,10380101001,1,0,0,1,0,1
Arwal,Arwal,Upgraded High School Rampur Chauram,10380105301,1,0,0,1,0,1
Arwal,Kaler,U.M.S.Bandhubigha,10380503901,1,0,0,1,0,1
Arwal,Kaler,U.M.S.Maraila,10380503601,1,0,0,1,0,1
Arwal,Kaler,U.M.S.Mehandiabad,10380503904,1,0,0,1,0,1
Arwal,Kaler,U.M.S.Rupaich,10380504702,1,0,0,1,0,1
Arwal,Kaler,U.M.S.Teribigha,10380505503,0,0,1,1,1,0
Arwal,Karpi,M.S.Bambhai,10380600701,0,0,1,1,1,0
Arwal,Karpi,M.S.G.M Public School Kurse,10380604403,0,0,0,0,0,1
Arwal,Kurtha,M.S Nizampur,10380705101,1,0,0,1,0,1
Arwal,Kurtha,U.M.S Gangeya,10380701801,1,0,0,1,0,1
Arwal,Kurtha,Up.M.S Ahmadpur Harna,10380700101,1,0,0,1,0,1
Arwal,Kurtha,Upgraded High School Ibrahimpur- Hindi,10380702301,0,0,1,1,1,0
